date,longitude,latitude,name,year,depth,species,Barometric Pressure,Wind Speed (kn),Air Temp (°F),Wind Gust (kn),Humidity (%)
2018-10-27 01:57:00,-79.6616,26.3665,19687,2018,39.80058670043945,Galeocerdo Cuvier,1011.5,6.8,79.5,10.3,-
2018-10-27 12:57:00,-79.6805,26.4014,19687,2018,17.158910751342773,Galeocerdo Cuvier,1014.4,6.22,77.2,8.75,-
2018-10-27 23:10:00,-79.686,26.4145,19687,2018,17.158910751342773,Galeocerdo Cuvier,1014.2,5.05,82,8.36,-
2018-10-28 01:27:00,-79.776,26.6475,19687,2018,-78.4782485961914,Galeocerdo Cuvier,1015.6,5.25,79.3,5.83,-
2018-10-28 03:13:00,-79.7416,26.6634,19687,2018,-74.86602783203125,Galeocerdo Cuvier,1017.5,13.61,74.7,16.72,-
2018-10-28 12:04:00,-80.0125,26.9374,19687,2018,-93.72045135498047,Galeocerdo Cuvier,1020.7,8.16,63.9,11.66,-
2018-11-01 13:09:00,-80.8916,24.7957,19687,2018,-124.1197738647461,Galeocerdo Cuvier,1017.8,18.08,78.6,19.63,-
2018-11-01 22:28:00,-80.9187,24.7033,19687,2018,-105.78971862792969,Galeocerdo Cuvier,1015.8,13.02,79.9,14.58,-
2018-11-03 14:52:00,-81.2851,24.7255,19687,2018,-66.3219223022461,Galeocerdo Cuvier,1020.6,10.89,72.9,14.58,-
2018-11-03 23:31:00,-81.3044,24.674,19687,2018,-62.51814270019531,Galeocerdo Cuvier,1020.1,17.49,78.3,20.02,-
2018-11-04 21:55:00,-81.6289,24.5873,19687,2018,-60.42607879638672,Galeocerdo Cuvier,1018.8,11.47,80.8,13.61,-
2018-11-05 03:47:00,-82.7883,24.5114,19687,2018,-69.12393188476562,Galeocerdo Cuvier,1020.7,15.55,81,18.47,-
2018-11-05 11:27:00,-82.9329,24.4354,19687,2018,-37.38909912109375,Galeocerdo Cuvier,1019,11.27,80.4,12.63,-
2018-11-05 13:08:00,-82.9424,24.4305,19687,2018,-37.49594497680664,Galeocerdo Cuvier,1019.9,9.52,80.2,10.69,-
2018-11-06 00:19:00,-83.1116,24.88,19687,2018,44.79518127441406,Galeocerdo Cuvier,1018.4,9.33,80.1,10.3,-
2018-11-06 11:52:00,-83.1095,24.881,19687,2018,44.79518127441406,Galeocerdo Cuvier,1018,8.16,80.1,9.52,-
2018-11-06 23:01:00,-83.1845,25.4613,19687,2018,23.676593780517578,Galeocerdo Cuvier,1016.8,6.03,80.4,7.58,-
2018-11-07 11:41:00,-83.1841,25.4615,19687,2018,23.676593780517578,Galeocerdo Cuvier,1018.2,2.92,75,5.44,-
2018-11-07 12:24:00,-83.3637,25.6754,19687,2018,37.526649475097656,Galeocerdo Cuvier,1018.2,2.92,75,5.44,-
2018-11-07 22:29:00,-83.4755,25.8185,19687,2018,69.15685272216797,Galeocerdo Cuvier,1016.3,7.19,80.4,7.97,-
2018-11-08 11:52:00,-83.7769,26.0807,19687,2018,78.2677230834961,Galeocerdo Cuvier,1017,6.41,80.1,7.39,-
2018-11-08 12:16:00,-83.7799,26.0817,19687,2018,78.2677230834961,Galeocerdo Cuvier,1017,6.41,80.1,7.39,-
2018-11-08 21:06:00,-83.9242,26.3132,19687,2018,43.866180419921875,Galeocerdo Cuvier,1015.7,6.03,80.6,8.16,-
2018-11-08 22:52:00,-83.9492,26.3425,19687,2018,31.545713424682617,Galeocerdo Cuvier,1016.5,3.69,79.9,5.05,-
2018-11-08 23:00:00,-83.9493,26.3421,19687,2018,31.545713424682617,Galeocerdo Cuvier,1016.5,3.69,79.9,5.05,-
2018-11-08 23:38:00,-83.9568,26.3503,19687,2018,31.545713424682617,Galeocerdo Cuvier,1017,5.64,79,7.97,-
2018-11-09 09:45:00,-84.0641,26.465,19687,2018,-1.9288750886917114,Galeocerdo Cuvier,1016.6,8.55,79.5,10.3,-
2018-11-09 22:40:00,-84.5025,27.0795,19687,2018,-80.96757507324219,Galeocerdo Cuvier,1016.4,5.64,80.1,7.58,-
2018-11-09 23:05:00,-84.4998,27.0768,19687,2018,-85.2530517578125,Galeocerdo Cuvier,1016.4,5.64,80.1,7.58,-
